split,calibration_fold,source,generator,is_mixed,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns
codec_resample12_q12,codec_resample12_q12,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.016520824685546408,0.016520824685546408,,False,True,2.3,0.6828867793083191,0.36127564311027527,0.7041179537773132,0.3458711504936218,0.9854309558868408,0.09705263376235962,0.887807309627533,0.035897038877010345
codec_resample12_q12,codec_resample12_q12,gtzan_real_v2,GTZAN_genre_1,False,0.0,0.0,0.0,0.0,1.0,0.22582527506271838,0.1830038059512766,0.2686467441741601,True,True,30.013375,0.5957646369934082,4.414011200992718e-08,0.6027141213417053,4.212894566535397e-08,0.745145857334137,1.0,0.023022199049592018,0.7504587173461914
codec_resample12_q12,codec_resample12_q12,asvspoof2019,bonafide,False,0.0,0.0,0.0,1.0,0.0,0.02158081629799878,0.02158081629799878,,False,True,4.2175,0.7238851189613342,0.4691753685474396,0.7345232367515564,0.4722413420677185,0.981396496295929,0.07853313535451889,0.7369227409362793,0.0167560912668705
codec_resample12_q12,codec_resample12_q12,gtzan_real_v2,GTZAN_genre_5,False,0.0,0.0,0.0,0.0,1.0,0.3188975670437719,0.440075098185533,0.19772003590201082,True,True,30.013375,0.6584523916244507,0.00011921369878109545,0.650307834148407,0.00011384054232621565,0.522794246673584,0.9999807476997375,0.018528444692492485,0.7029423117637634
codec_resample12_q12,codec_resample12_q12,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.009538942365411125,0.009538942365411125,,False,True,6.77,0.7125897407531738,0.4840588867664337,0.7156340479850769,0.49241623282432556,0.9219834208488464,0.11462906002998352,0.8309094309806824,0.021165844053030014
codec_resample12_q12,codec_resample12_q12,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.9996956767577672,0.9996956767577672,,False,True,4.6824375,0.7428135275840759,0.4105403423309326,0.7500695586204529,0.4104570150375366,0.9672005772590637,0.06801212579011917,0.7987939119338989,0.0216298196464777
codec_resample12_q12,codec_resample12_q12,gtzan_real_v2,GTZAN_genre_7,False,0.0,0.0,0.0,0.0,1.0,0.3830871228304039,0.4054155992990318,0.36075864636177596,True,True,30.0001875,0.727120041847229,6.970495451241732e-05,0.7006607055664062,6.692210445180535e-05,0.37520408630371094,0.9998693466186523,0.027200847864151,0.8111171722412109
codec_resample12_q12,codec_resample12_q12,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.011664516206008073,0.011664516206008073,,False,True,3.625,0.7322282195091248,0.49878546595573425,0.7417092323303223,0.50506591796875,0.9780063629150391,0.14266788959503174,0.8710784912109375,0.013658512383699417
codec_resample12_q12,codec_resample12_q12,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.999291283745836,0.999291283745836,,False,True,4.198375,0.7259912490844727,0.42256659269332886,0.7375237941741943,0.4199264943599701,0.982672929763794,0.05351324751973152,0.7225545048713684,0.016207296401262283
codec_resample12_q12,codec_resample12_q12,wavefake_ajay,WF6,False,1.0,1.0,0.0,1.0,0.0,0.9970582469704804,0.9970582469704804,,False,True,5.538,0.778927743434906,0.5181012153625488,0.7850658297538757,0.5315538048744202,0.9824718832969666,0.09995414316654205,0.8175976872444153,0.03305630758404732
codec_resample12_q12,codec_resample12_q12,split_internal_mix,mix::A01::MusicGen,True,1.0,1.0,1.0,1.0,1.0,0.9419179992091145,0.8874856646555723,0.9963503337626567,True,True,7.489,0.7224352359771729,0.9998461008071899,0.7141266465187073,0.999832272529602,0.5967538952827454,0.9999306201934814,0.014987298287451267,0.0255522932857275
codec_resample12_q12,codec_resample12_q12,wavefake_ajay,WF5,False,1.0,1.0,0.0,1.0,0.0,0.9980771403311756,0.9974537477325952,0.9987005329297559,True,True,7.6161875,0.7718246579170227,0.5274712443351746,0.7782257199287415,0.5419803261756897,0.9782096147537231,0.10049512982368469,0.8086967468261719,0.03094826079905033
codec_resample12_q12,codec_resample12_q12,wavefake_ajay,WF1,False,1.0,1.0,0.0,1.0,0.0,0.9988118823252318,0.9988118823252318,,False,True,6.09525,0.7446914911270142,0.49496152997016907,0.7533549666404724,0.5041643381118774,0.9734488725662231,0.11935511976480484,0.784717321395874,0.033725131303071976
codec_resample12_q12,codec_resample12_q12,fake_music_generated,MusicGen,False,1.0,0.0,1.0,0.0,1.0,0.9128712259339533,0.9128712259339533,,False,True,5.8945,0.728864312171936,0.999733030796051,0.716008186340332,0.9997127652168274,0.5347704887390137,0.9998192191123962,0.01180089171975851,0.024098392575979233
